id,moonNumber,actor,textKor,textEng
8,1,edison,.......,......
8,1,edison,나도 직원 시절 관찰했던\n인간 하나가 있었다.,I too observed a human\nduring my days as a worker.\nOne that studied the stars.
8,1,edison,"망원경이 발명된 지 얼마\n지나지 않았던 시절,\n별을 탐구하던 인간이었지.","During a time when binoculars\nhad just been invented,\nthe human was a scholar of stars."
8,1,edison,인간은 자주 애인과\n함께 밤하늘을 올려다봤어.,The human would gaze at the\nnight sky with her lover.
8,1,edison,하지만 그의 아름다운 애인은\n갑작스러운 사고로 생명을 잃었다.,But her lover lost their\nlife in a sudden accident.
8,1,edison,‘나중에 저 별에서 다시\n만나는 거야.’ 라는 말을 남기고.,"‘That star is where I’m\nheaded after I die’,\nwere his last words."
8,1,edison,인간은 그들이 다시는\n만날 수 없다는 걸 알았다.,The human was not aware\nof the name of the star.
8,1,edison,"그래서 인간은 연구에 더\n몰두했지. 매일, 매 시간, 매 초를.",And so she threw herself into her work.\nEvery second of every hour\n... of every day.
8,1,edison,애인에 대한 그리움이\n비집고 들어오지 못하도록.,Her obsession over\nreuniting with her lover\ngrew and grew. Until...
8,1,edison,"나는 그의 상실을 온전히 이해하고\n있다고 판단했고,",I assumed that I understood\nthe entirety of her loss.
8,1,edison,그래서... 실수를 저질렀다.,And so I made mistakes.
8,1,edison,"멍청한 실수들을, 매일 밤, 수차례.","Foolish mistakes, again\nand again, every night."
8,1,edison,...... 더는 이야기해 줄 수 없지만,...... I cannot bring myself\nto tell you more.
8,1,edison,이것만은 알아주길 바란다.,But know this:
8,1,edison,"그 실수를 반복하지 않으려고\n개발한 것이다. 인간, 너와의 송신기를.","This transmitter was made so as not to\nrepeat the same mistake, human."
8,1,edison,대화를 통한다면...\n무지는 언젠가 극복될 수 있으니까.,As the only method of overcoming\nignorance… is to converse.
8,2,red,만약에.,What if.
8,2,edison,만약에?,What if?
8,2,red,"만약에, 아주 투명한 영혼과\n순수한 마음을 가진 어느 인간이","What if a human, one with a\ntransparent soul and a pure heart,"
8,2,red,우주 비행사가 되어\n달의 뒤편에 착륙한다면 어떡하지?,becomes an astronaut and lands\non the dark side of the Moon?
8,2,red,그리고 우리의 아름다운 공장과,"What if they discover\nour beautiful factory,"
8,2,red,밑에서 폐기물 청소\n중인 우리를 발견한다면?,"And us, cleaning up filth?"
8,2,red,우리는 숨어야 하려나?\n아니면 인사를 건네야 할까?,Should we hide? Say hello?
8,2,edison,인간 또한 강한 탐구욕을 가진 종족.,Humans possess\na strong sense of curiosity.
8,2,edison,그는 분명 다가와 우리에게\n많은 질문을 쏟아 낼 것.,Highly likely that they will\napproach and ask questions.
8,2,red,불꽃 머리를 화려하게 뽐내고\n있으면 눈에 띄겠지? 분명해!,"My flaming head will catch their\neye, right? I’m sure of it!"
8,2,red,"NASA에 대서특필될 수도! 불꽃\n소년, 인간의 마음을 뜨겁게 데우다!",Maybe I’ll end up in the papers!\n‘Flame Boy Warms Up Human’s Heart!’
8,2,edison,"아니, 그 전에 인간의\n표피를 뜨겁게 데울 듯하다.","Rather, your presence will\nburn the human’s skin."
8,2,edison,인간이 화상 입을 수도.\n인간의 외피는 우리의 생각보다 연약함.,Human may acquire a burn.\nTheir exteriors are far more\nfragile than we think.
8,2,edison,그들은 우주복 없인\n이곳에서 살아남을 수 없음.,They cannot survive here\nwithout spacesuits.
8,2,edison,네 불이 우주복에\n구멍이라도 뚫어 버린다면?,What if your flame were to burn\na hole through their spacesuit?
8,2,sircello,(베토벤의 비창이 흘러나온다.\n격렬한 불협화음이 섞여 있다.),(Cue Beethoven’s Pathétique.\nA startling cacophony.)
8,2,red,...... 흥.,......Hmph.
8,2,edison,"어찌 되었든, 긴급\n행동 요령이 필요하겠군.","Regardless, an emergency\nprotocol seems necessary."
8,2,edison,다녀오겠다. 고민의\n시간이 필요해.,Excuse me. I need time\nto come up with one.
8,2,edison,"타당한 의문이었음, 레드.","It was a valid question, Red."
8,2,red,...... 그렇게 칭찬해도\n기분 안 풀리거든!,......That doesn’t make\nme feel any better!
9,1,red,인간. 인가아아안.,Human. Humaaaan.
9,1,red,오늘따라 잠이 오질 않아서\n에디슨 몰래 송신기를 켜 봤어.,"Couldn’t sleep, so I snuck\naround Edison to turn this on."
9,1,red,아아- 크흠. 들리려나?,"Testing, one two three.\nCan ya hear me?"
9,1,red,음... 마지막으로 꿈 제작을\n담당했던 아이가 자꾸 떠오르는 것 있지.,Hmm… I can’t stop thinking about\nthe last human I took care of.
9,1,red,나의 마지막 인간.,My last human.
9,1,red,"있잖아, 그 애는\n정말 따뜻한 아이였어!","You know, he really\nwas a sweet kid!"
9,1,red,"친구들에게 마지막 남은 반찬을\n항상 양보할 정도로 마음이 넓었고,","Always sharing his food with his friends,"
9,1,red,지나가는 고양이와 인사하기 위해\n선뜻 주저앉아 손을 내밀\n정도로 경계가 보드라웠어.,Always squatting down\nto say hi to a passing cat.
9,1,red,하지만 세상은 그 애에게\n따뜻하지 않았어.,But the world wasn’t sweet to him.
9,1,red,"원래 그렇게 이기적인 세상인 걸까,\n그 아이에게만 박했던 걸까?","Is it always that way, or\nwas the kid just unlucky?"
9,1,red,약해서? 인간 세계의 기준으로\n‘가난한 자’에 속해서?,‘Cause he was weak? ‘Cause he was\n‘poorer’ than other humans?
9,1,red,뒤에 숨을 어른 가족이 없어서?,‘Cause he didn’t have\nadults to hide behind?
9,1,red,모르겠어. 이해할 수 없는\n아주 비겁한 이유였다고 생각해.,Don’t know. I bet it was a\nreally cowardly reason.
9,1,red,"그 아이를 에워싼 겨울도,\n주변의 어른들도. 결코 그에게\n온기를 되돌려주지 않았기에,",The winter cold and the adults\naround him didn’t do jack for him.
9,1,red,난 모든 경우를 생각하며\n그를 데워 주려 했지만\n내 온기는 닿지 않았어.,"So I tried everything to make him\nwarm, but nothing reached him."
9,1,red,내 머리가 나빠서였을까?,Was I just not smart enough?
9,1,red,아니면 달과 지구의\n거리가 너무 멀어서?,Or is the Moon too far from Earth?
9,1,red,...... 전부 나의 탓이야.,......It’s all my fault.
9,1,red,그래서 난... 그를 위해\n더욱 강렬하고 뜨거운\n불이 되기로 결심했어.,"So I… decided I’d burn even\nfiercer and hotter, just for him."
9,1,red,혹시 모르잖아.\n그 애가 지금 먼먼 우주를\n떠돌고 있을 수도 있는 거잖아.,"Who knows. Maybe that kid is wandering\nin space, far away from here."
9,1,red,그렇게 우리가 언젠가\n만날 수도 있는 거잖아!,And maybe one day\nwe’ll run into each other!
9,1,red,"그때, 그때 비로소 그\n아이를 데워 주면 되니까.",And then I can finally\nwarm the kid up.
9,1,red,"그러니 인간, 그때까지\n내가 타오르길 응원해\n줘야 해! 그럴 거지?",So you better root for me to\nkeep burning on! Can\nI count on you?
9,2,red,그때 기억 나?,Do you remember?
9,2,red,삽이 땅 속 무언가에\n부딪혔을 때 말야.,When my shovel hit\nsomething in the ground.
9,2,sircello,♩ ♩♪ ♮♪ ?,♩ ♩♪ ♮♪ ?
9,2,edison,"맞아, 네가 땅속 무언가의\n정체를 몰라 우리를 불렀잖아.",Yes. You had no idea\nwhat it was and summoned us.
9,2,edison,"난 그 자원을 이리저리 보고,\n냄새를 맡고, 만져보고,\n또 핥아보기까지 했지.","I studied, smelled, touched,\neven licked the resource."
9,2,edison,오감으로 관찰한 결과 나는 확신했다.,And my senses confirmed\nwhat I already suspected.
9,2,edison,이것은 달과 꿈 공장에 혁신을\n불러일으킬 신자원이라는 걸!,That this new resource would\nbring about innovation on the\nMoon and the factory!
9,2,edison,바로 이를 연료화하기\n위한 실험에 돌입하려,I left at once to retrieve my\nequipment from the laboratory
9,2,edison,연구실로 실험 도구를\n가지러 떠났지.,to begin experimenting on\nhow to convert it into fuel.
9,2,edison,그런데 돌아오니까\n자원이 없어졌지 뭐야.,But I returned to discover\nthe resource missing.
9,2,edison,달을 샅샅이 뒤져보았지만\n낌새도 없이 사라져 있었음.,I searched the Moon\nbut it hadn’t left a trace.
9,2,edison,그때만큼 내 감정이 요동쳤던\n때를 찾기는 쉽지 않아.,My emotions had never\nbeen more intense.
9,2,edison,"그럼, 난 연구실로 복귀한다. 이만.","With that, I return to my lab.\nUntil the next time."
9,2,edison,(탁탁거리는 발소리가 멀어진다.),(Pitter-patter of footsteps grows faint.)
9,2,red,...,...
9,2,sircello,...,...
9,2,sircello,♪♪ ♮♬ ?,♪♪ ♮♬ ?
9,2,red,"아니야, 말해주지 않길 잘 했어.","No, we made the right call\nby not telling her."
9,2,red,그 대단한 신자원이 고작\n‘얼음’이었다는 걸\n알았다면 에디슨은...,If Edison ever found out that\nher grand resource was just ice...
9,2,sircello,♫♮♭♮♭!!!!,♫♮♭♮♭!!!!
9,2,red,우리도 엄청 놀랐었잖아!\n잔뜩 기대했었는데....,We did too! You remember\nhow excited I was.
9,2,red,에디슨은 그 실망과 충격을 영원히\n극복하지 못할 수도 있다고.,Edison may never get\nover it for the rest of time.
9,2,sircello,*♩♩ / ♪,*♩♩ / ♪
9,2,red,헤헤. 맞아.,Hehe. True.
9,2,red,이미 녹아 없어진 얼음을 찾아\n헤매는 에디슨의 뒷모습도\n재미있었지!,It was pretty funny watching Edison\nfreak out over the ice disappearing.
9,2,sircello,♪ ♮♪♭ ~,♪ ♮♪♭ ~
9,2,red,알았어. 그만 놀릴게....,Alright. I’ll lay off...
10,1,red,오늘따라 꿈 공장\n직원이었던 때가 그리워.,It’s days like these\nI miss being a worker.
10,1,sircello,...... ♪,...... ♪
10,1,edison,"돌아갈 수도 없는 걸 그리워하면\n네 마음만 아픔. 일해라, 레드.","No point in missing\nwhat cannot come back.\nGet to work, Red."
10,1,red,그래도!,Still!
10,1,red,그래도.,Still.
10,1,red,그때는 우리가 사랑하는 인간들에게\n사랑스런 꿈을 보내 줄 수 있었어.,Back then we could send dear dreams\nto the humans dear to us.
10,1,red,꿈을 제조하기 전 그들의\n다채로운 하루를 재생해\n감상하던 업무는 매일의 낙이었지!,Nothing beat catching up on\nwhat they did each day\nbefore making dreams!
10,1,red,재수없는 공장 놈들이 우리를\n무시하지도 않았고 말이야.,And those factory shucks\ndidn’t look down on us.
10,1,edison,... 그래.,...True.
10,1,edison,경이로운 속도로 진화하던\n그들의 기술을 관찰하는\n것 역시 즐거웠다.,It was a pleasure observing their\ntechnology develop so rapidly.
10,1,edison,"파이프 오르간과 반도체 칩,\n놀라울 만큼 정교했음.","Pipe organs and semi-conductive\nchips, all incredibly intricate."
10,1,edison,지성과 집념의 집약체였지.\n아직도 기억 속에 생생하다.,Beacons of intellect and will.\nI remember them clearly.
10,1,sircello,♪♫ !!,♪♫ !!
10,1,red,"그렇지, 우리가 만날 일은\n없었겠지만...... 그래도!","Right, then we never would\nhave met. But don’t you still miss it?"
10,1,edison,하지만 우린 이미 만났음.,But we already have met.
10,1,edison,그리고 생각보다 나는\n너희를 좋아하고 있다.,And I am fonder of you two\nthan you are aware of.
10,1,edison,"자, 다시 청소하러 가자.","Now, back to work."
10,1,red,...,...
10,1,red,우와. 우와아.... 응!,Whoa. Whoa!
10,1,red,(타타닥 하는 발소리),(Scuffling sounds)
10,1,red,"제대로 들은 것 맞지, 첼로 경?","Did I hear that right, Sir Cello?"
10,1,sircello,♫♮,♫♮
10,2,red,"안녕, 인간! 오늘은 첼로 경이\n발을 잘려서 다시\n이어 붙여 주고 왔어. 칠칠맞긴!","Hi, human! Today Sir Cello\nsawed off his foot, so we had\nto put it back. What a clutz."
10,2,red,첼로 경은 지금 잠들었고 말야.,He’s fast asleep now.
10,2,red,"인간, 첼로 경이 말 대신 첼로\n선율로 소통한다는 것 알지?","You know Sir Cello speaks\nin cello strings, right?"
10,2,red,실은 원래 말을 할 수 있었대.,But he used to talk.
10,2,red,실은… 지금도 할 수 있대!,Actually... he still can!
10,2,red,하지만 음악으로 말하길\n선택했다고 해.,But he chooses to be\nunderstood through music.
10,2,red,첼로 경의 마지막 인간은\n첼리스트였거든.,"You see, Sir Cello’s\nfinal human was a cellist."
10,2,red,그리고 음악은\n그의 인생이 시작되고\n꽃피우던 세계.,And music was what made\nthe human's life bloom.
10,2,red,"그가 살아가던 이유도,\n사랑하던 모든 것도 음악이었어.","He lived for music,\nand loved with music."
10,2,red,사고로… 음악을 연주하는 능력을\n잃게 되었을 때마저도,After the accident...\nhe had to give it up.
10,2,red,음악만큼은 그 인간의 마지막\n위로이자 도피처였대.,Yet music was still his\nconsolance and escape.
10,2,red,첼로 경이 그의 인간을 잃게 된 건,But eventually...
10,2,red,결국 인간들의 언어 때문이었지.,Words took him away\nfrom Sir Cello.
10,2,red,"... 물론! 인간들의 언어는 대부분\n아름답고 동그랗지만, 가끔은 정말\n날카롭고 끔찍해지기도 하거든.","… They are often round\nand beautiful, but at times\ncan be sharp and terrible."
10,2,red,"그 뾰족한 언어들에\n다치다가, 다치다가...","And can hurt, and hurt until you just..."
10,2,red,……,……
10,2,red,"... 그래서 첼로 경은 음악을 언어로\n삼아서, 자기 마지막 인간을\n기억해 나가고 싶은 거래.","So Sir Cello wants to speak\nthrough music, and remember\nhis final human with it."
10,2,red,"말의 세상엔 상처도, 거짓도 많지만","Words hurt, and words lie."
10,2,red,음악은… 그냥 느끼면 되니까!,But with music...\nyou just have to feel!
10,2,red,있는 그대로.,Feel it as it is.
10,2,red,투명한 감정만 살아 숨 쉬니까.,Clear and alive.
10,2,red,"… 멋진 아저씨잖아, 첼로 경!","Man, Sir Cello sure is cool."
11,1,red,그거 알아?,"Hey, guess what?"
11,1,red,인간들은 우리가 사는\n달에 참 관심이 많대!,Humans are really interested\nin this Moon of ours.
11,1,sircello,♫♮♭♮♭,♫♮♭♮♭
11,1,red,그리스의 신화에서는\n달을 관장하는 세 명의\n여신들이 있다고 믿었대.,The Greek myths said three\ngoddesses looked over the Moon.
11,1,red,"아르테미스는 초승달,\n셀레네는 보름달,\n헤카테는 그믐달을 상징하지!","Artemis dealt with the crescent moon,\nSelene the full moon,\nand Hecate the waning moon."
11,1,red,너어무 멋있고 낭만적이야.,WAY too cool and romantic.
11,1,sircello,♫♮♭♮♭?,♫♮♭♮♭?
11,1,red,"그리고, 한국에서는 달에서\n토끼가 방아를 찧는다고 믿었대.","Well, in Korea they believed\nrabbits lived on the moon."
11,1,red,지구에서 보이는 달의 앞면을\n보며 그런 상상을 한 거야!,They came up with that just by\nlooking at the Moon’s surface!
11,1,sircello,*♩♩ / ♪,♫♮♭♮♭...
11,1,red,그러게... 이젠 과학의 발전으로\n신화나 동화를 믿는 인간이\n흔치 않아졌어.,True... science has made it\nrare for humans to believe in\nmyths or fairy tales.
11,1,red,"조금은, 아니, 꽤나 아쉬워.","It’s kinda disappointing.\nNo, very disappointing."
11,1,edison,글쎄.,I disagree.
11,1,edison,사실에 이야기를\n덧씌우는 것 역시 좋지만,Storytelling to make sense of\nthe world is commendable.
11,1,edison,"사실에 다가가려고 하는 인간들의 태도,","But their dedication to the truth,"
11,1,edison,바로 내가 인간을 사랑하고\n궁금해하는 이유 중 하나다.,is what I love to explore about humans.
11,2,red,"에디슨, 괜찮아?","Edison, you good?"
11,2,edison,"레드, 넌 너의 소년이\n우주를 여행하리라 믿지.",Red. You believe your boy\nis traveling through space.
11,2,red,응.,Yeah.
11,2,edison,난 나의 인간이\n완전히 소멸했다고 생각함.,I believe my human\nis gone for good.
11,2,red,……,……
11,2,edison,"그가 사랑하던 여자 인간이 죽었을 때,\n난 그가 느끼던 고통을\n‘불가피한 과정’으로서 이해하지 못했다.","When the woman he loved\ndied, I did not understand his\ngrief was ‘a natural process.’"
11,2,edison,꿈속에 그녀의 조각들을 잔뜩 심어\n두면 그가 분명 기뻐할 줄 알았고.,I thought planting her in\nhis dreams would give him joy.
11,2,edison,금새 다시 행복해질 거라 믿었음.,I believed he would be\nhappy once more.
11,2,edison,무지했던 것이지.,I was a fool.
11,2,edison,"…… 모든 인간은 상실을 겪으며,\n그것을 지나오는 과정은\n반드시 필요하단 걸.","..... All humans go through\nloss, and grieve over it."
11,2,edison,그 상실감을 피해다니며 영원한 환상을\n거닐다 보면 깨어나야만 하는 현실이\n점차 초라하고 끔찍해진단 걸.,But avoiding that grief and\nwandering in a fantasy\nonly makes reality worse.
11,2,edison,당시엔 알지 못했다.,I did not know at the time.
11,2,edison,현실이 견딜 수 없어진 그는…\n결국 그녀를 따라갔다.,He could not cope with\nreality... so he followed\nin her footsteps.
11,2,edison,… 그는 내가 죽인 것이다.,... I killed him.
11,2,edison,내가 보내 준 꿈들이 그를 죽게 한 거야.,My dreams killed him.
11,2,edison,이젠 아니까.,I know now.
11,2,edison,소멸을 멈추고,And I want him here.
11,2,edison,그만 돌아오라 하고 싶어.,I want him back.
11,2,red,……,……
11,2,red,너의 인간은 별을 좋아하는\n사람이라고 했었지? ,"You said your human\nliked stars, right?"
11,2,edison,응.,Affirmative.
11,2,red,나의 소년은 저어어어기\n파란 별을 여행하고 있다.,My human kid is traveling that\nblue star waaaay over there.
11,2,red,아마도 너의 인간은 저어어어기…,So your human’s\nsomewhere over...
11,2,red,저어어…기 가느다랗게 빛나는\n노란 별. 아마도 그 언저리를\n여행하고 있을 거야!,There. That faint yellow star.\nHe’s probably traveling there!
11,2,red,그가 사랑했던 여자 인간과 함께!,With the woman he loved!
11,2,red,"어라, 봐! 방금\n선명하게 반짝였잖아!","Hey, look! It just winked at us!"
11,2,edison,……,……
11,2,red,……,……
11,2,edison,"…… 고맙다, 레드.","...... Thank you, Red."
12,1,edison,인간은 때때로\n비합리적인 선택을 한다.,Humans make\nirrational choices at times.
12,1,edison,"발화기관이 아직 작동하지 않는\n태아와 대화를 나누고,",They speak with feti whose\nvocal chords are yet to operate.
12,1,edison,가장 절망적인 상황에서도\n아름다움을 좇으며 기쁨을 느낀다.,"And look for beauty\nin hopeless situations,"
12,1,edison,아름다움이 무엇인지도 모르면서.,despite not fully grasping\nthe true concept of beauty.
12,1,edison,비합리성. 끼워지지 않는\n퍼즐조각 같은데도,"Irrationality. A puzzle\npiece that does not fit,"
12,1,edison,묘하게 앉아 바라보고\n싶은 인간의 그 기묘한 특성.,and a human trait that makes\none want to contemplate it.
12,1,sircello,♮♭~♫♩...?,♮♭~♫♩...?
12,1,edison,"그래, 어쩌면 그들이\n비합리적이기에 나를 그토록\n매료시킨 것일지도 모르지.","Yes, perhaps it is their irrational\nways that charmed me so."
12,1,edison,"하지만 그것 알아, 첼로 경?","But are you aware, Sir Cello?"
12,1,edison,가끔은 그들을 온전히 이해할\n수 없을지도 모른다는\n공포에 마비된다.,The fear that I may not understand\nthem fully paralyzes me at times.
12,1,edison,왜 그때... 그런 사고를 했으며\n그러한 선택을 했는지.,Why… why they made\nsuch a choice back then.
12,1,edison,"답 없는 메아리처럼 끊임없이\n짐작할 수밖에 없고, 당최\n이해도 납득도 되지 않을 때.","When all that is left is to ponder\nlike an echo with no reply,"
12,1,edison,얼어붙는다.,I freeze.
12,1,sircello,♭  ♩ +,♭  ♩ +
12,1,edison,정말 그렇게 생각하나? 우리는 영원히\n그들을 이해할 수 없다고?,Is that truly what you think?\nThat we will never understand them?
12,1,edison,... 우리의 세계가 너무 단순하기 때문일까.,… Perhaps our world is far too simple.
12,1,sircello,♮ - -♫,♮ - -♫
12,1,edison,...... 그런 게 중요하지 않다면\n대체 무엇이 중요한 거지?,"…… If those are not\nof import, then what is?"
12,1,sircello,"♩♩♩  *, ♩♩   *","♩♩♩  *, ♩♩   *"
12,1,edison,정말 이해하기 위해서는 이해하지\n못한 채로 받아들여야 한다고?,True understanding occurs when one\nembraces without understanding?
12,1,edison,"이해하지 못한 채로,\n‘받아들여야’ 한다고?",<i>Embrace</i> without understanding?
12,1,edison,문장 내에 모순이 있다.,A sentence that contradicts itself.
12,1,sircello,....♩♫   ♮♭.,....♩♫   ♮♭.
12,1,edison,모순까지 받아들여라....,Embrace the contradiction itself...
12,1,edison,이런. 받아들이는 것 참 좋아하네.,"Boy. You really like embraces, huh."
12,1,sircello,(첼로 경이 연주를 시작한다.\n달의 새들이 모여드는 소리가 난다.),(Sir Cello’s music. The rustling of\nMoon birds flocking together.)
12,1,sircello,(몽환적인 새소리가 어우러진다.),(The dreamy harmony of bird chirps.)
12,2,red,"저 멀리의 우주 암석, 보여?",See that space rock over there?
12,2,red,언제부터 차디찬 우주에\n외로이 떠돌았을까?,How long has it been drifting\nin this cold universe all alone?
12,2,red,저 운석은 끝이 나는 것들의\n아름다움을 알고 있을까?,Does it know how beautiful\nit is that all things must end?
12,2,red,...,...
12,2,red,어제까진 나의 인간 아이도\n그렇게 우주를 떠돌고 있기를 바랐었어.,"Up ‘til yesterday, I hoped my human kid\nwas floating through space like that."
12,2,red,오래 오래 떠돌다 보면 언젠가는\n만날 수 있을지 모르니까.,I thought maybe someday\nhe could wander right into me.
12,2,red,하지만...,But...
12,2,red,"이젠 놓을래. 포기하는 게 아니야.\n그냥, 인정하는 거야.",I’m letting go now. Not\ngiving up. Just facing facts.
12,2,red,"슬픔을 애써 희망으로 바꿔 왔지만,\n이건 그 애를 위하는 길이 아니었어.","I’ve tried to be hopeful instead of\nsad, but this isn’t right for him."
12,2,red,왜냐하면.... 왜냐하면.,Because.... because.
12,2,red,그 애가 살아간 찰나의 시간이\n너무나도 눈부셨거든.,That split second of his life\nshined so bright.
12,2,red,그 반짝임은 달에 있는\n나에게까지 닿을 정도였어.,So much that its light\nreached me on the Moon.
12,2,red,나는 그 애의 고유한 반짝임을\n지켜 주고 싶어. 그러니 나는.,"I want to protect\nhis special light. So I,"
12,2,red,"기억해야만 해. 그 아이가 어떻게\n시작되었고, 어떻게 끝났는지.","I have to remember. How he\nbegan, and how he ended."
12,2,red,끝과 함께 하나의 이야기로\n완성되었던 아이의 아름다운 인생을.,"His beautiful life that drew to\na close, a complete story."
12,2,red,그러니까 놓아 줄 거야.,So I’ll be letting go.
12,2,red,"다만 나의 가슴은 언제까지나\n조금은 찌릿할테고,","But there’ll always be\na lil’ pang in my heart,"
12,2,red,눈에서 소금물이 흐르는\n날도 있을거야.,and sometimes saltwater\nwill leak from my eyes.
12,2,red,"그 정도는 괜찮겠지, 에디슨?","But that’s okay. Right, Edison?"
12,2,edison,...,...
12,2,edison,네 머리가 뜨겁지만\n않았다면 쓰다듬었을 텐데.,"Were your head not made\nof flames, I would pat it."
12,2,edison,대신 등을 두드린다.,I will settle for your shoulder instead.
13,1,red,다가갈 수 없고 곁에 있을 수 없는\n내 자신을 많이 원망했어.,I hated myself for not being\nable to be near you.
13,1,red,하지만... 네가 나를 알았다면.\n우리가 친구였다면.,"But... if you’d known me.\nIf we’d been friends,"
13,1,red,"너는 내가 자책하는 걸 바라지\n않았을지도 모르겠다는 생각을,",it occured to me that you\nmight not have wanted this.
13,1,red,문득 해 버렸어.,Me blaming myself.
13,1,red,"있잖아,","You know,"
13,1,red,"점점 어두워져가는 네 꿈을\n보면서도, 네가 꺼져 가고 있다는\n생각을 한 적은 한 번도 없었어.","your dreams turned darker, but I never\nimagined you were petering out."
13,1,red,넌 마지막 날까지 강인한\n촛불처럼 따뜻했으니까.,You were as warm as\na strong flame to the very end.
13,1,red,"살고 싶다는, 살아 있는 존재들의\n끈질긴 본능만으로는","Just the will, and the\ndogged instinct to live"
13,1,red,또 내가 아주 멀리서\n보내 주었던 꿈들만으로는,and the dreams I sent\nfrom far far away
13,1,red,네 온기가 끊어진 것을\n막을 수 없었던 거야.,weren’t enough to stop\nthat warmth from petering out.
13,1,red,"그래, 나의 탓이 아니었다는\n걸... 이제는 알 것 같다.","Yes, I know now... that\nit wasn’t my fault."
13,1,red,불운을 견디는 게 힘들었지.,It was hard to cope\nwith all the bad luck.
13,1,red,사실 나는 어른이 된 너의\n모습을 궁금해하고는 했는데.,I used to wonder what you\nwould be like as an adult.
13,1,red,앞으로도 영원히 궁금해할 거야.,And I always will.
13,1,red,너를 탓하지는 않아.,I don’t blame you.
13,1,red,하지만 너무 약했던 너를\n아무렇지 않게 짓눌렀던\n그들의 몹쓸 강함이 밉고,But I resent that strength that\ncrushed you like it meant nothing
13,1,red,너를 당연히 지켜 줘야 했던\n사회란 게 그토록 허술한\n울타리일 뿐이었다는 사실도 밉고,and the careless fence of a society\nmeant to keep you safe
13,1,red,"차디찬 겨울밤, 손난로\n하나 건네 주던 사람이\n하나 없었다는 것도 너무, 너무 미워.",and that no one was there to hand you\na pair of mittens on that cold winter night.
13,1,red,넌 그 조그만 온기로도 다시\n타오를 소년이었다는 걸 알아서.,Because I know that warmth would have\nbeen all it took for you to light up again.
13,1,red,아아아아아아. 이런.,Ohhhhhh. Oh.
13,1,red,왜냐하면... 난 진짜\n어른이 된 네 모습이,Because... I wanted to know\nwhat you’d be like as an adult.
13,1,red,무척이나 궁금했거든.,I really really did.
13,2,sircello,♩… ♫,♩… ♫
13,2,edison,"그래, 레드가 그런 생각을\n하게 된 게 기특하면서도……","Yes, I feel proud of Red\nfor thinking so. And also..."
13,2,edison,참 다행스러움.,Much relieved.
13,2,sircello,♩♪    ♩♩?,♩♪    ♩♩?
13,2,edison,응? 어... 나는...,Ah? Mm... As for me...
13,2,edison,아마도 영원히 자책할 듯하다.,It seems I will\nforever berate myself.
13,2,edison,당시의 상황도 상황이었지만.,"For what happened\nback then, but also..."
13,2,edison,이 소모적이고 고통스러운\n마음을 기꺼이 느끼며,Entirely feeling this exhausting\nand agonizing emotion
13,2,edison,그를 기억하는 게\n내 방식의 애정이니까.,"and so remembering him,\nis my way of caring."
13,2,edison,... 무책임한 말을 하나 해도 될까.,... I have something\nself-serving to say.
13,2,sircello,♪—♫,♪—♫
13,2,edison,인간들이 죽지 않았으면 한다.,I do not want humans to die.
13,2,edison,"음, 뱉고 보니 더욱 무책임하군.",Mm. It sounds even more\nself-serving out loud.
13,2,sircello,♩♭ ♩♫♮...,♩♭ ♩♫♮...
13,2,edison,모든 생명의 삶은 한 편의 이야기.,Every life is a single story.
13,2,edison,"한 명이라도 그 이야길\n귀 기울여 듣고 있다면,","They say even if just one person is\nreally listening to your story,"
13,2,edison,우린 살아갈 힘을\n잃지 않을 수 있다고 한다.,you will never completely lose\nthe will to live on.
13,2,sircello,♩ ♮♮♮...♫,♩ ♮♮♮...♫
13,2,edison,"... 그래, 우리 세 명이\n서로의 청자가 되어 주었듯이.",... Yes. Like how the three of us\nlistened to each other.
13,2,edison,... 인간들이 알았으면 좋겠음.,... I want humans to know.
13,2,edison,우리가 귀 기울이고 있다는 것을.,That we are listening.
13,2,edison,매일 한 명 한 명의 인간을 위해\n꿈을 만드는 한 명 한 명의\n꿈 공장 직원들이 있으며...,"That there are dream factory workers\ncrafting dreams for each\nperson, for <i>you</i>."
13,2,edison,"비록 그들을 더는 볼 수 없게 되었음에도,\n그들의 하루하루를 응원하고\n사랑하는 달 뒤편의 청소부들이 있다고.",That there are cleaners on the dark side\nof the Moon who root for\nand love all their days.
13,2,edison,우리만으로는 충분하지 않을지라도...\n우리의 목소리가 너무 작아\n미처 닿지 못할지라도.,That even if we may not be\nenough... even if our voices\nare too weak to reach so far.
13,2,edison,그렇다 할지라도.,Even so.
13,2,edison,우리가 있으니...,We are still here...
13,2,edison,죽지 않고 살아 주면 좋겠다고.,And we want them to live on.
14,1,red,"너희, 지구에 가 보고 싶어?",Do you guys ever\nwanna go to Earth?
14,1,edison,갑자기? 지구? 갈 방법이\n없는데 그걸 왜 상상해야 하지?,Earth? Now? Why think on it when\nwe have no means of going?
14,1,red,......,......
14,1,red,됐어. 됐어. 어차피\n나도 안 궁금했거든?,"Fine, whatever. It’s not like\nI was curious or anything!"
14,1,edison,... 지구는 흥미로운 미지 투성이다.,… Earth is full of mysteries.
14,1,edison,그러나 우주에서 나는 돌만큼이나\n내 연구에 실용적인 자원은 없다.,But the Moon offers resources\nof actual use for my research.
